address,beds,baths,type,price,sqft,listing#,sqft_min,sqft_max,sqft_avg,Type,Style
50 Orchid Place Dr Room 1 Toronto,1,1,Condo Townhouse Multi-Level,1000,1000-1199,E9416947,1000,1199,1099.5,Condo Townhouse,Multi-Level
330 Village Green Sq 8 Toronto,1,2,Condo Townhouse 3-Storey,1100,1200-1399,E9399099,1200,1399,1299.5,Condo Townhouse,3-Storey
3 Falaise Rd A2 Toronto,1,1,Condo Townhouse Stacked Townhse,1200,1400-1599,E10431570,1400,1599,1499.5,Condo Townhouse,Stacked Townhse
10 Eddystone Ave 241 Toronto,1,2,Condo Apt 2-Storey,1200,1200-1399,W10407655,1200,1399,1299.5,Condo Apartment,2-Storey
872 Browns Line 2 Toronto,1,1,Condo Apt Multi-Level,1250,1000-1199,W10423767,1000,1199,1099.5,Condo Apartment,Multi-Level
55 Cedarcroft Blvd 12 Toronto,1,1,Condo Townhouse 2-Storey,1250,1200-1399,C10441325,1200,1399,1299.5,Condo Townhouse,2-Storey
177 Linus Rd 1014 Toronto,1,1,Condo Apt Apartment,1280,900-999,C9295556,900,999,949.5,Condo Apartment,Apartment
350 Alton Towers Circ 907 Toronto,1+1,1,Condo Apt Apartment,1300,700-799,E9381394,700,799,749.5,Condo Apartment,Apartment
57 Finch Ave 27 Toronto,1,1,Condo Townhouse 2-Storey,1350,900-999,C10884899,900,999,949.5,Condo Townhouse,2-Storey
11753 Sheppard Ave E 420 Toronto,1,1,Condo Apt Apartment,1350,1000-1199,E10422806,1000,1199,1099.5,Condo Apartment,Apartment
E18 Orchid Pl Room 2 Toronto,1,1,Condo Townhouse 3-Storey,1400,1000-1199,E10415851,1000,1199,1099.5,Condo Townhouse,3-Storey
1121 Bay St 1402 Toronto,1,1,Condo Apt Apartment,1400,1000-1199,C9398305,1000,1199,1099.5,Condo Apartment,Apartment
1378 Danforth Ave 3 Toronto,1,1,Condo Apt Apartment,1400,600-699,E9396307,600,699,649.5,Condo Apartment,Apartment
7 Falaise Rd A Toronto,1,1,Condo Townhouse 2-Storey,1400,0-499,E9255134,0,499,249.5,Condo Townhouse,2-Storey
420 Lake Shore G02 Blvd W 2nd Bed Toronto,1,1,Condo Townhouse Stacked Townhse,1450,0-499,C9256479,0,499,249.5,Condo Townhouse,Stacked Townhse
757 Dovercourt Rd F Toronto,1,1,Condo Apt Bachelor/Studio,1495,0-499,W10929171,0,499,249.5,Condo Apartment,Bachelor/Studio
909 Bay St 604-S Toronto,1,1,Condo Apt Apartment,1500,1000-1199,C9284109,1000,1199,1099.5,Condo Apartment,Apartment
17 Bathurst St 2901 Toronto,1+1,1,Room Apartment,1500,500-599,C9282402,500,599,549.5,Room,Apartment
3 Sudbury St 302 Toronto,1,1,Condo Townhouse Stacked Townhse,1500,700-799,C9752090,700,799,749.5,Condo Townhouse,Stacked Townhse
6A Leaside Park Dr Toronto,1,2,Room 3-Storey,1500,2500-2749,C10432649,2500,2749,2624.5,Room,3-Storey
1378 Danforth Ave 2 Toronto,1,1,Condo Apt Apartment,1500,600-699,E9396304,600,699,649.5,Condo Apartment,Apartment
10 Capreol Crt 1057 Toronto,1,2,Condo Apt Apartment,1500,600-699,C9514453,600,699,649.5,Condo Apartment,Apartment
57 St Joseph St 1123 Toronto,1,1,Shared Room Apartment,1500,0-499,C10408062,0,499,249.5,Room,Apartment
10 York St 1107 Toronto,1,1,Condo Apt Apartment,1500,600-699,C9344480,600,699,649.5,Condo Apartment,Apartment
104 Regent St Toronto,1,1,Condo Townhouse 2-Storey,1550,1400-1599,C10404949,1400,1599,1499.5,Condo Townhouse,2-Storey
99 Broadway Ave 2709 Toronto,1,1,Condo Apt Apartment,1590,600-699,C10419429,600,699,649.5,Condo Apartment,Apartment
827 Albion Rd Toronto,1,1,Upper Level Apartment,1600,500-599,W10291582,500,599,549.5,Upper Level,Apartment
49 East Liberty St 2603 Toronto,1,1,Condo Apt Apartment,1600,800-899,C10781910,800,899,849.5,Condo Apartment,Apartment
21 Carlton St 1205 Toronto,1,2,Room Apartment,1650,900-999,C9419501,900,999,949.5,Room,Apartment
60 Ann O'reilly Rd 260 Toronto,1,1,Condo Apt Apartment,1650,1200-1399,C9513758,1200,1399,1299.5,Condo Apartment,Apartment
47 Mutual St 802 Toronto,1,1,Condo Apt Apartment,1650,900-999,C9512857,900,999,949.5,Condo Apartment,Apartment
57 St Joseph St 313 Toronto,1,1,Condo Apt Apartment,1650,1000-1199,C9398764,1000,1199,1099.5,Condo Apartment,Apartment
25 Adra Grado Way 1026 Br Toronto,1,1,Condo Apt Apartment,1680,1000-1199,C10418575,1000,1199,1099.5,Condo Apartment,Apartment
45 Charles St E 2312 Toronto,1,1,Condo Apt Apartment,1700,800-899,C10279421,800,899,849.5,Condo Apartment,Apartment
25 Carlton St 2007 Toronto,1,1,Condo Apt Apartment,1700,800-899,C10420328,800,899,849.5,Condo Apartment,Apartment
70 Forest Manor Rd 3308 Toronto,1,1,Condo Apt Apartment,1700,1000-1199,C10412749,1000,1199,1099.5,Condo Apartment,Apartment
32 Townsend Rd Toronto,1,1,Condo Townhouse 3-Storey,1750,500-599,C9344699,500,599,549.5,Condo Townhouse,3-Storey
330 Richmond St W 603 Toronto,1,1,Condo Apt Apartment,1770,500-599,C9513282,500,599,549.5,Condo Apartment,Apartment
1446 Yonge St 7 Toronto,1,1,Condo Apt Bachelor/Studio,1795,0-499,C10441502,0,499,249.5,Condo Apartment,Bachelor/Studio
750 Bay St 1110 Toronto,1,1,Condo Apt Apartment,1800,800-899,C9368047,800,899,849.5,Condo Apartment,Apartment
195 McCaul St 1114 Toronto,1,1,Condo Apt Apartment,1800,0-499,C10414508,0,499,249.5,Condo Apartment,Apartment
448 Spadina Rd 106 Toronto,1,1,Other Apartment,1845,500-599,C9419486,500,599,549.5,Other,Apartment
448 Spadina Rd 407 Toronto,1,1,Other Apartment,1845,500-599,C10415271,500,599,549.5,Other,Apartment
8 Cumberland St 4702 Toronto,1,1,Condo Apt Apartment,1850,700-799,C9395205,700,799,749.5,Condo Apartment,Apartment
90 Glen Everest Rd 308 Toronto,1,1,Condo Apt Apartment,1850,0-499,E9768654,0,499,249.5,Condo Apartment,Apartment
191 St George St 907 Toronto,1,1,Condo Apt Apartment,1850,600-699,C10416131,600,699,649.5,Condo Apartment,Apartment
55 Bremner Blvd 3207 Toronto,1,1,Condo Apt Apartment,1850,800-899,C10422353,800,899,849.5,Condo Apartment,Apartment
191 St George St 707 Toronto,1,1,Condo Apt Apartment,1850,600-699,C10414485,600,699,649.5,Condo Apartment,Apartment
1 Falaise Rd 101 Toronto,1,1,Condo Apt Apartment,1850,0-499,E10431104,0,499,249.5,Condo Apartment,Apartment
2191 Yonge St 811 Toronto,1,1,Condo Apt Apartment,1880,1000-1199,C9400140,1000,1199,1099.5,Condo Apartment,Apartment
2 Kingston Rd 16 Toronto,1,1,Co-Op Apt Apartment,1900,700-799,E10417226,700,799,749.5,Co-Op Apartment,Apartment
126 Dundas St E 205 Toronto,1,1,Upper Level Apartment,1900,500-599,C9382446,500,599,549.5,Upper Level,Apartment
4 Kingston Rd 39 Toronto,1,1,Co-Op Apt Apartment,1900,700-799,E9770105,700,799,749.5,Co-Op Apartment,Apartment
12 Kingston Rd 77 Toronto,1,1,Co-Op Apt Apartment,1900,700-799,E9382560,700,799,749.5,Co-Op Apartment,Apartment
195 McCaul St 219 Toronto,1,1,Condo Apt Apartment,1900,0-499,C10421461,0,499,249.5,Condo Apartment,Apartment
120 Parliament St 1307 Toronto,1,1,Condo Apt Apartment,1900,0-499,C9512638,0,499,249.5,Condo Apartment,Apartment
156 Kingston Rd 10 Toronto,1,1,Condo Apt Apartment,1900,600-699,E10440918,600,699,649.5,Condo Apartment,Apartment
156 Kingston Rd 306 Toronto,1,1,Condo Apt Apartment,1900,600-699,E9465244,600,699,649.5,Condo Apartment,Apartment
10 Kingston Rd 92 Toronto,1,1,Condo Apt Apartment,1900,700-799,E9236039,700,799,749.5,Condo Apartment,Apartment
15 Fort York Blvd 4503 Toronto,1,1,Condo Apt Apartment,1900,800-899,C9509921,800,899,849.5,Condo Apartment,Apartment
18 Yorkville Ave 505 Toronto,1+0,1,Condo Apt Apartment,1900,0-499,C10416994,0,499,249.5,Condo Apartment,Apartment
156 Kingston Rd 216 Toronto,1,1,Condo Apt Apartment,1900,600-699,E9506710,600,699,649.5,Condo Apartment,Apartment
39 Brant St 716 Toronto,1,1,Condo Apt Apartment,1900,0-499,C10414582,0,499,249.5,Condo Apartment,Apartment
2135 Avenue Rd 102 Toronto,1,0,Other Apartment,1925,500-599,C9399205,500,599,549.5,Other,Apartment
414 Jarvis St E 104 Toronto,1,1,Co-Op Apt Apartment,1930,500-599,C9416198,500,599,549.5,Co-Op Apartment,Apartment
